05/30-19:09:10.917356  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
12/30-14:09:23.599412  [**] [1:2013037:4] ET POLICY Java EXE Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 37.143.9.126:80 -> 192.168.15.10:1045
12/30-14:09:23.599412  [**] [1:2013036:2] ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 37.143.9.126:80 -> 192.168.15.10:1045
12/30-14:09:26.414638  [**] [1:2016089:3] ET TROJAN FakeAV checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:26.414638  [**] [1:2015820:1] ET INFO Suspicious Windows NT version 7 User-Agent [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:26.722149  [**] [1:2016089:3] ET TROJAN FakeAV checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:26.722149  [**] [1:2016273:1] ET TROJAN W32/Bilakip.A Downloader API Ping CnC Beacon [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:26.722149  [**] [1:2015820:1] ET INFO Suspicious Windows NT version 7 User-Agent [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:27.029995  [**] [1:2016089:3] ET TROJAN FakeAV checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:27.029995  [**] [1:2015820:1] ET INFO Suspicious Windows NT version 7 User-Agent [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:28.466943  [**] [1:2015872:5] ET CURRENT_EVENTS Blackhole request for Payload [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1039 -> 37.143.9.126:80
12/30-14:09:28.785862  [**] [1:2015804:3] ET CURRENT_EVENTS BlackHole 2 PDF Exploit [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 37.143.9.126:80 -> 192.168.15.10:1039
12/30-14:09:28.785862  [**] [1:2011507:6] ET WEB_CLIENT PDF With Embedded File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 37.143.9.126:80 -> 192.168.15.10:1039
12/30-14:09:28.785862  [**] [1:2014154:3] ET CURRENT_EVENTS DRIVEBY PDF Containing Subform with JavaScript [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 37.143.9.126:80 -> 192.168.15.10:1039
12/30-14:09:28.662727  [**] [1:2014726:59] ET POLICY Outdated Windows Flash Version IE [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.15.10:1048 -> 37.143.9.126:80
12/30-14:09:28.662727  [**] [1:2015872:5] ET CURRENT_EVENTS Blackhole request for Payload [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1048 -> 37.143.9.126:80
12/30-14:09:33.502262  [**] [1:2016089:3] ET TROJAN FakeAV checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:33.502262  [**] [1:2016273:1] ET TROJAN W32/Bilakip.A Downloader API Ping CnC Beacon [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:33.502262  [**] [1:2015820:1] ET INFO Suspicious Windows NT version 7 User-Agent [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:33.778279  [**] [1:2016089:3] ET TROJAN FakeAV checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:33.778279  [**] [1:2015820:1] ET INFO Suspicious Windows NT version 7 User-Agent [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1047 -> 195.20.141.23:80
12/30-14:09:34.286513  [**] [1:2016089:3] ET TROJAN FakeAV checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1049 -> 195.20.141.23:80
12/30-14:09:34.286513  [**] [1:2016273:1] ET TROJAN W32/Bilakip.A Downloader API Ping CnC Beacon [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1049 -> 195.20.141.23:80
12/30-14:09:34.286513  [**] [1:2015820:1] ET INFO Suspicious Windows NT version 7 User-Agent [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1049 -> 195.20.141.23:80
12/30-14:09:34.574020  [**] [1:2016089:3] ET TROJAN FakeAV checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1049 -> 195.20.141.23:80
12/30-14:09:34.574020  [**] [1:2016274:1] ET TROJAN W32/Bilakip.A Downloader Viruslist Download For Populating FakeAV [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1049 -> 195.20.141.23:80
12/30-14:09:34.574020  [**] [1:2015820:1] ET INFO Suspicious Windows NT version 7 User-Agent [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.15.10:1049 -> 195.20.141.23:80
01/21-02:23:20.260076  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
01/21-02:23:20.261080  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
01/21-02:23:40.087397  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.115.10:1039 -> 239.255.255.250:1900
01/21-02:23:40.321163  [**] [1:1852:3] WEB-MISC robots.txt access [**] [Classification: Access to a Potentially Vulnerable Web Application] [Priority: 2] {TCP} 192.168.115.10:1041 -> 74.125.45.106:80
01/21-02:23:40.627804  [**] [1:2016751:13] ET CURRENT_EVENTS RedKit/Sakura/CritX/SafePack/FlashPack applet + obfuscated URL Apr 10 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1042
01/21-02:23:40.542032  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.115.10:1043 -> 80.150.6.143:80
01/21-02:23:40.668767  [**] [1:2014475:4] ET INFO JAVA - Java Class Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 80.150.6.143:80 -> 192.168.115.10:1043
01/21-02:23:40.803458  [**] [1:2014726:59] ET POLICY Outdated Windows Flash Version IE [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.115.10:1042 -> 31.7.62.154:80
01/21-02:23:41.044018  [**] [1:2011507:6] ET WEB_CLIENT PDF With Embedded File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 31.7.62.154:80 -> 192.168.115.10:1044
01/21-02:23:41.044018  [**] [1:2014368:2] ET CURRENT_EVENTS Blackhole qwe123 PDF [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1044
01/21-02:23:41.044018  [**] [1:2014154:3] ET CURRENT_EVENTS DRIVEBY PDF Containing Subform with JavaScript [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1044
01/21-02:23:42.097743  [**] [1:466:4] ICMP L3retriever Ping [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.115.10 -> 31.7.62.154
01/21-02:23:42.097743  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.115.10 -> 31.7.62.154
01/21-02:23:42.208605  [**] [1:408:5] ICMP Echo Reply [**] [Classification: Misc activity] [Priority: 3] {ICMP} 31.7.62.154 -> 192.168.115.10
01/21-02:23:42.327730  [**] [1:2014520:2] ET INFO EXE - Served Attached HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 31.7.62.154:80 -> 192.168.115.10:1051
01/21-02:23:42.327730  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1051
01/21-02:23:43.045251  [**] [1:466:4] ICMP L3retriever Ping [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.115.10 -> 31.7.62.154
01/21-02:23:43.045251  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.115.10 -> 31.7.62.154
01/21-02:23:43.156367  [**] [1:408:5] ICMP Echo Reply [**] [Classification: Misc activity] [Priority: 3] {ICMP} 31.7.62.154 -> 192.168.115.10
01/21-02:23:43.224554  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.115.10:1039 -> 239.255.255.250:1900
01/21-02:23:43.506803  [**] [1:2014966:2] ET CURRENT_EVENTS Generic - PDF with NEW PDF EXPLOIT [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1053
01/21-02:23:46.411133  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.115.10:1039 -> 239.255.255.250:1900
01/21-02:23:46.635785  [**] [1:2011507:6] ET WEB_CLIENT PDF With Embedded File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 31.7.62.154:80 -> 192.168.115.10:1054
01/21-02:23:46.635785  [**] [1:2014368:2] ET CURRENT_EVENTS Blackhole qwe123 PDF [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1054
01/21-02:23:46.635785  [**] [1:2014154:3] ET CURRENT_EVENTS DRIVEBY PDF Containing Subform with JavaScript [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1054
01/21-02:23:47.013336  [**] [1:2014966:2] ET CURRENT_EVENTS Generic - PDF with NEW PDF EXPLOIT [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1054
01/21-02:23:57.230112  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1056 -> 31.7.62.154:80
01/21-02:23:57.230112  [**] [1:2014009:1] ET TROJAN Smokeloader getgrab Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1056 -> 31.7.62.154:80
01/21-02:24:00.009026  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1057 -> 31.7.62.154:80
01/21-02:24:00.009026  [**] [1:2016011:3] ET TROJAN SmokeBot grab data plaintext [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1057 -> 31.7.62.154:80
01/21-02:24:02.268544  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1058 -> 31.7.62.154:80
01/21-02:24:02.268544  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1058 -> 31.7.62.154:80
01/21-02:24:02.268544  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1058 -> 31.7.62.154:80
01/21-02:24:02.387026  [**] [1:2015835:6] ET TROJAN Smoke Loader C2 Response [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1058
01/21-02:24:02.499586  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1059 -> 31.7.62.154:80
01/21-02:24:02.499586  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1059 -> 31.7.62.154:80
01/21-02:24:02.499586  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1059 -> 31.7.62.154:80
01/21-02:24:03.739046  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1060 -> 31.7.62.154:80
01/21-02:24:03.739046  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1060 -> 31.7.62.154:80
01/21-02:24:03.739046  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1060 -> 31.7.62.154:80
01/21-02:24:03.857625  [**] [1:2014520:2] ET INFO EXE - Served Attached HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 31.7.62.154:80 -> 192.168.115.10:1060
01/21-02:24:03.857625  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1060
01/21-02:24:04.637837  [**] [1:1042:9] WEB-IIS view source via translate header [**] [Classification: Access to a Potentially Vulnerable Web Application] [Priority: 2] {TCP} 192.168.115.10:1061 -> 31.7.62.154:80
01/21-02:24:04.752628  [**] [1:1042:9] WEB-IIS view source via translate header [**] [Classification: Access to a Potentially Vulnerable Web Application] [Priority: 2] {TCP} 192.168.115.10:1061 -> 31.7.62.154:80
01/21-02:24:04.890080  [**] [1:1042:9] WEB-IIS view source via translate header [**] [Classification: Access to a Potentially Vulnerable Web Application] [Priority: 2] {TCP} 192.168.115.10:1061 -> 31.7.62.154:80
01/21-02:24:05.003277  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1062 -> 31.7.62.154:80
01/21-02:24:05.003277  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1062 -> 31.7.62.154:80
01/21-02:24:05.003277  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1062 -> 31.7.62.154:80
01/21-02:24:06.285948  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1064 -> 31.7.62.154:80
01/21-02:24:06.285948  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1064 -> 31.7.62.154:80
01/21-02:24:06.285948  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1064 -> 31.7.62.154:80
01/21-02:24:07.181618  [**] [1:2011582:38] ET POLICY Vulnerable Java Version 1.6.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.115.10:1065 -> 31.7.62.154:80
01/21-02:24:07.212223  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1067 -> 31.7.62.154:8080
01/21-02:24:07.213815  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1068 -> 31.7.62.154:8080
01/21-02:24:07.226870  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1069 -> 31.7.62.154:8080
01/21-02:24:07.229429  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1071 -> 31.7.62.154:8080
01/21-02:24:07.230567  [**] [1:2013487:4] ET CURRENT_EVENTS Likely Generic Java Exploit Attempt Request for Java to decimal host [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1070 -> 31.7.62.154:8080
01/21-02:24:07.502611  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1072 -> 31.7.62.154:80
01/21-02:24:07.502611  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1072 -> 31.7.62.154:80
01/21-02:24:07.502611  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1072 -> 31.7.62.154:80
01/21-02:24:07.325783  [**] [1:2014475:4] ET INFO JAVA - Java Class Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:8080 -> 192.168.115.10:1068
01/21-02:24:07.341686  [**] [1:2014475:4] ET INFO JAVA - Java Class Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:8080 -> 192.168.115.10:1071
01/21-02:24:07.338657  [**] [1:2014475:4] ET INFO JAVA - Java Class Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:8080 -> 192.168.115.10:1069
01/21-02:24:07.341933  [**] [1:2014475:4] ET INFO JAVA - Java Class Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:8080 -> 192.168.115.10:1070
01/21-02:24:07.294321  [**] [1:2018234:1] ET INFO JAR Sent Claiming To Be Text Content - Likely Exploit Kit [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 31.7.62.154:80 -> 192.168.115.10:1065
01/21-02:24:07.294321  [**] [1:2014473:2] ET INFO JAVA - Java Archive Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1065
01/21-02:24:07.322816  [**] [1:2014475:4] ET INFO JAVA - Java Class Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:8080 -> 192.168.115.10:1067
01/21-02:24:07.296442  [**] [1:2018234:1] ET INFO JAR Sent Claiming To Be Text Content - Likely Exploit Kit [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 31.7.62.154:80 -> 192.168.115.10:1066
01/21-02:24:07.296442  [**] [1:2014473:2] ET INFO JAVA - Java Archive Download By Vulnerable Client [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1066
01/21-02:24:08.114489  [**] [1:2014031:1] ET CURRENT_EVENTS DRIVEBY Generic Java Rhino Scripting Engine Exploit Previously Requested com.class [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1066 -> 31.7.62.154:80
01/21-02:24:08.269897  [**] [1:2014033:1] ET CURRENT_EVENTS DRIVEBY Generic Java Rhino Scripting Engine Exploit Previously Requested edu.class [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1066 -> 31.7.62.154:80
01/21-02:24:08.269897  [**] [1:2002945:10] ET POLICY Java Url Lib User Agent Web Crawl [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.115.10:1066 -> 31.7.62.154:80
01/21-02:24:08.384035  [**] [1:2014034:1] ET CURRENT_EVENTS DRIVEBY Generic Java Rhino Scripting Engine Exploit Previously Requested net.class [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1066 -> 31.7.62.154:80
01/21-02:24:08.510500  [**] [1:2014032:1] ET CURRENT_EVENTS DRIVEBY Generic Java Rhino Scripting Engine Exploit Previously Requested org.class [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1066 -> 31.7.62.154:80
01/21-02:24:08.726076  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1073 -> 31.7.62.154:80
01/21-02:24:08.726076  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1073 -> 31.7.62.154:80
01/21-02:24:08.726076  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1073 -> 31.7.62.154:80
01/21-02:24:09.351236  [**] [1:2016581:2] ET CURRENT_EVENTS SUSPICIOUS Java Request to ChangeIP Dynamic DNS Domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.115.10:1074 -> 31.7.62.154:80
01/21-02:24:09.467385  [**] [1:2014520:2] ET INFO EXE - Served Attached HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 31.7.62.154:80 -> 192.168.115.10:1074
01/21-02:24:09.467385  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1074
01/21-02:24:09.467385  [**] [1:2013037:4] ET POLICY Java EXE Download [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1074
01/21-02:24:09.467385  [**] [1:2013036:2] ET TROJAN Java EXE Download by Vulnerable Version - Likely Driveby [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1074
01/21-02:24:09.914371  [**] [1:2016581:2] ET CURRENT_EVENTS SUSPICIOUS Java Request to ChangeIP Dynamic DNS Domain [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.115.10:1075 -> 31.7.62.154:80
01/21-02:24:10.031607  [**] [1:2014520:2] ET INFO EXE - Served Attached HTTP [**] [Classification: Misc activity] [Priority: 3] {TCP} 31.7.62.154:80 -> 192.168.115.10:1075
01/21-02:24:10.031607  [**] [1:2018959:2] ET POLICY PE EXE or DLL Windows file download HTTP [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 31.7.62.154:80 -> 192.168.115.10:1075
01/21-02:24:11.075689  [**] [1:2003492:18] ET MALWARE Suspicious Mozilla User-Agent - Likely Fake (Mozilla/4.0) [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1076 -> 31.7.62.154:80
01/21-02:24:11.075689  [**] [1:2014012:1] ET TROJAN Smokeloader getload Command [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1076 -> 31.7.62.154:80
01/21-02:24:11.075689  [**] [1:2013917:3] ET TROJAN Win32/Dofoil.L Checkin [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.115.10:1076 -> 31.7.62.154:80
01/02-19:12:54.952930  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
01/02-19:12:54.955352  [**] [1:527:8] BAD-TRAFFIC same SRC/DST [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 0.0.0.0:68 -> 255.255.255.255:67
01/02-19:13:13.140006  [**] [1:2016144:2] ET CURRENT_EVENTS Injected iframe leading to Redkit Jan 02 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1032
01/02-19:13:13.140006  [**] [1:2016297:3] ET CURRENT_EVENTS Malicious iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1032
01/02-19:13:13.429088  [**] [1:2016297:3] ET CURRENT_EVENTS Malicious iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1031
01/02-19:13:13.450378  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} 192.168.98.10:1036 -> 239.255.255.250:1900
01/02-19:13:13.603316  [**] [1:2016144:2] ET CURRENT_EVENTS Injected iframe leading to Redkit Jan 02 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1032
01/02-19:13:13.603316  [**] [1:2016297:3] ET CURRENT_EVENTS Malicious iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1032
01/02-19:13:13.812182  [**] [1:2016144:2] ET CURRENT_EVENTS Injected iframe leading to Redkit Jan 02 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1031
01/02-19:13:13.812182  [**] [1:2016297:3] ET CURRENT_EVENTS Malicious iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1031
01/02-19:13:13.981979  [**] [1:2016144:2] ET CURRENT_EVENTS Injected iframe leading to Redkit Jan 02 2013 [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1032
01/02-19:13:13.981979  [**] [1:2016297:3] ET CURRENT_EVENTS Malicious iframe [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 82.146.59.87:80 -> 192.168.98.10:1032
01/02-19:13:14.754348  [**] [1:2015858:2] ET CURRENT_EVENTS Sakura/RedKit obfuscated URL [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 109.74.202.254:80 -> 192.168.98.10:1041
01/02-19:13:14.754348  [**] [1:2016174:2] ET CURRENT_EVENTS DRIVEBY RedKit - Landing Page [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 109.74.202.254:80 -> 192.168.98.10:1041
